Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
10.2.01,Metrópoli municipal,Durango,10005,Durango,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,90.3666558406251,NA
11.1.01,Zona metropolitana,Celaya,11007,Celaya,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,134.28452227134,NA
11.1.01,Zona metropolitana,Celaya,11044,Villagrán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,140.81381777506,NA
11.1.01,Zona metropolitana,Celaya,11011,Cortazar,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,77.0480166610971,NA
11.1.02,Zona metropolitana,León,11025,Purísima del Rincón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,35.4995491234001,NA
11.1.02,Zona metropolitana,León,11020,León,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,122.761294656325,NA
11.1.02,Zona metropolitana,León,11031,San Francisco del Rincón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,64.1539483626499,NA
11.2.03,Metrópoli municipal,Guanajuato,11015,Guanajuato,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,193.246450042689,NA
11.3.05,Zona conurbada,Moroleón-Uriangato,11021,Moroleón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,49.3263315274234,NA
11.3.05,Zona conurbada,Moroleón-Uriangato,11041,Uriangato,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,60.7634386697856,NA
11.3.06,Zona conurbada,Silao,11037,Silao de la Victoria,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,201.291985299403,NA
12.1.01,Zona metropolitana,Chilpancingo,12075,Eduardo Neri,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,27.0173936207063,NA
12.1.01,Zona metropolitana,Chilpancingo,12029,Chilpancingo de los Bravo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,74.1959943150724,NA
12.2.02,Metrópoli municipal,Acapulco,12001,Acapulco de Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,125.174503550097,NA
13.1.01,Zona metropolitana,Pachuca,13083,Zempoala,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.2019518110787,NA
13.1.01,Zona metropolitana,Pachuca,13051,Mineral de la Reforma,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,57.8889257138505,NA
