no,cve_ent,year,valor
36,29,2010,82.83006906676454
36,30,2010,86.00106572664112
36,31,2010,60.859600463998014
36,32,2010,61.96799589330739
36,00,2011,69.34276418513686
36,01,2011,47.73366071140116
36,02,2011,52.17346767821281
36,03,2011,46.90939270378523
36,04,2011,56.333024008153096
36,05,2011,79.21861953310832
36,06,2011,71.80861673849991
36,07,2011,44.612092199912205
36,08,2011,65.0405015841109
36,09,2011,97.69363672249254
36,10,2011,59.553268103281376
36,11,2011,72.65287434252842
36,12,2011,63.060556077895455
36,13,2011,62.50964850343803
36,14,2011,69.48280765563251
36,15,2011,73.83550444574004
36,16,2011,78.59995793804114
36,17,2011,76.05405487626005
36,18,2011,60.549724019329744
36,19,2011,55.82245739520879
36,20,2011,63.01786692527972
36,21,2011,80.110260426461707
36,22,2011,50.60527882516372
36,23,2011,35.30007955150852
36,24,2011,59.221848110737
36,25,2011,54.6090642682821
36,26,2011,60.56296274741243
36,27,2011,71.45512423908927
36,28,2011,72.47826618193234
36,29,2011,77.06696718142923
36,30,2011,82.82826673887593
36,31,2011,55.794396168850625
36,32,2011,57.557925350802286
36,00,2012,72.22651935938548
36,01,2012,58.76907230175707
36,02,2012,54.356093690028814
36,03,2012,49.281097325767114
36,04,2012,58.79777462457678
36,05,2012,76.26653218703261
36,06,2012,75.63430667827745
36,07,2012,49.0860788137622
36,08,2012,64.52415137853102
36,09,2012,101.67903898970916
36,10,2012,60.24236099031715
36,11,2012,79.66779431148375
36,12,2012,65.25133612901314
36,13,2012,65.05226956977248
36,14,2012,68.14585045750182
36,15,2012,76.96463873245132
36,16,2012,83.42757234100664
36,17,2012,81.60591886391718
36,18,2012,59.48782898208648
36,19,2012,60.31425137003115
36,20,2012,65.52451213575914
36,21,2012,82.20940605383709
36,22,2012,54.12998536145782
36,23,2012,41.88421435176286
36,24,2012,58.92586253517334
36,25,2012,54.07483957797592
36,26,2012,58.07671141785997
36,27,2012,77.98527549552966
36,28,2012,73.55618437652538
36,29,2012,85.14148440439551
36,30,2012,89.17684677460427
36,31,2012,58.89224274488386
36,32,2012,59.83013610716753
36,00,2013,74.85765565267694
36,01,2013,60.46397985977305
36,02,2013,56.92149386360368
36,03,2013,46.26121977803208
36,04,2013,64.10717820445916
36,05,2013,80.5291370142342
36,06,2013,80.37075813096024
36,07,2013,49.42057252009291
36,08,2013,66.11710391924224
36,09,2013,103.66728502331144
36,10,2013,65.52008424990937
36,11,2013,81.96407264288295
36,12,2013,68.78600255179292
36,13,2013,66.37372932702017
36,14,2013,70.24756372962703
36,15,2013,77.28915923917312
36,16,2013,86.98665712404653
36,17,2013,87.56742955833309
36,18,2013,60.48044637143058
36,19,2013,61.50465169704204
36,20,2013,69.3266255183894
36,21,2013,87.69095262909508
