no,indicador,cve_ent,year,valor
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1997,16.50718
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1997,6.43564
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1997,35.30363
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1997,6.32916
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1997,10.01243
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1997,19.80724
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1997,20.88246
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1997,19.96715
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1997,16.77965
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1997,3.14107
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1997,28.81872
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1997,10.17104
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1997,8.01691
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1997,11.145
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1997,8.85439
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1997,23.65739
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1997,12.68001
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1997,8.85871
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1997,10.52143
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1997,7.24813
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1997,9.12947
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1997,2.822
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1997,8.70885
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1998,4.72608
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1998,24.76718
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1998,4.61555
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1998,12.75824
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1998,6.24994
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1998,12.14071
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1998,21.43125
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1998,21.00308
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1998,14.01784
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1998,16.49333
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1998,6.61482
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1998,36.66575
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1998,6.60524
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1998,8.82174
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1998,18.65168
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1998,15.91872
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1998,20.51575
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1998,14.00402
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1998,3.45968
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1998,28.05256
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1998,9.85471
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1998,6.05541
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1998,9.62824
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1998,13.61216
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1998,22.1718
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1998,13.78401
